ProjectTypes,LEEDSystemVersionDisplayName,Count
"Commercial Office, Restaurant, Library",LEED-EB 2.0,1
"Interpretive Center, Assembly, Other",LEED-NC 2.2,1
Transportation,LEED-NC 2.2,2
"Restaurant, Hotel/Resort, Assembly",LEED-NC 2.2,1
"Interpretive Center, Recreation",LEED-NC 2.2,1
"Stadium/Arena, Higher Education",LEED-NC 2.2,1
"Multi-Unit Residence, Retail, Hotel/Resort, Restaurant, Assembly",LEED-NC 2.2,1
"Multi-Unit Residence, Campus (corp/school), Military Base",LEED-NC 2.2,3
"Commercial Office, Retail, Other",LEED-CS 2.0,1
"Higher Education, Campus (corp/school)",LEED-NC 2.2,14
"Commercial Office, Retail, Transportation",LEED-NC 2.1,1
"Commercial Office, Retail, Restaurant",LEED-EB 2.0,1
"Commercial Office, Assembly",LEED-NC 2.2,2
Commercial Office,LEED-NC v2009,1
Lodging: Dormitory,LEED-NC v2009,61
"Core Learning Space: K-12, High School",LEED FOR SCHOOLS v2009,4
"Commercial Office, Campus (corp/school)",LEED-NC 2.1,1
Multi-Family Mid-Rise Building (4-6 stories),LEED For Homes Multi Family Mid-Rise,1
"Health Care, Laboratory, Campus (corp/school)",LEED-NC 2.2,1
"Stadium/Arena, Higher Education, Recreation, Campus (corp/school)",LEED-NC 2.2,1
"Commercial Office, Retail, Financial & Comm.",LEED-NC 2.2,1
"Interpretive Center, Hotel/Resort, Higher Education, Library",LEED-NC 2.2,1
Public Order and Safety: Other Public Order,LEED-NC v2009,13
Other,LEED-CS 2.0,10
"Recreation, Interpretive Center, Transportation, Park (eg. greenway), Community Dev.",LEED-NC 2.2,1
"Retail, Multi-Unit Residence",LEED-NC 2.2,5
"Interpretive Center, Library, Other",LEED-NC 2.2,1
"Industrial, Laboratory, Military Base",LEED-NC 2.2,1
Datacenter,LEED-CI v2009,8
Retail: Grocery Store/Food Market,LEED-CS v2009,1
"Commercial Office, Industrial, Laboratory, Campus (corp/school)",LEED-NC 2.2,2
"Retail, Multi-Unit Residence",LEED For Homes Multi Family Mid-Rise,1
"Special Needs, Public Order/Safety",LEED-NC 2.1,1
"Retail, Higher Education, Campus (corp/school)",LEED-NC 2.2,1
Health Care: Inpatient,LEED-HC v2009,1
Recreation,LEED-NC 2.0,1
"Transportation, Other",LEED-NC 2.2,1
"Commercial Office, Laboratory",LEED-CS 2.0,2
"Transportation, Industrial, Military Base",LEED-NC 2.2,1
"Commercial Office, Assembly, Transportation",LEED-NC 2.2,1
"Commercial Office, Retail, Higher Education, Community Dev., Financial & Comm.",LEED-NC 2.2,1
Multi-Family Residential: Apartment,LEED-EB:OM v2009,2
"Commercial Office, Industrial",LEED-NC 2.1,1
"Multi-Unit Residence, Commercial Office, Retail, Hotel/Resort, Restaurant",LEED-NC 2.2,1
"Interpretive Center, Commercial Office, Interpretive Center, Assembly",LEED-NC 2.1,1
Retail: Bank Branch,LEED-CS v2009,1
Healthcare: Inpatient,LEED-CI v2009,1
"Commercial Office, Retail",LEED-EB O&M,8
Retail: Restaurant/Cafeteria,LEED-EB:OM v2009,1
"Multi-Unit Residence, Laboratory, Higher Education, Assembly",LEED-NC 2.2,1
"Retail, Restaurant, Park (eg. greenway), Assembly, Military Base, Other",LEED-NC 2.2,1
"Commercial Office, Financial & Comm., Other",LEED-EB O&M,1
"Retail, Commercial Office",LEED-NC 2.1,1
Other,LEED-CI 2.0,4
Public Assembly: Recreation,LEED-NC v2009,22
Retail: Vehicle Dealership,LEED-NC v2009,2
Health Care: Outpatient Office (Diagnostic),LEED v4 BD+C: NC,1
"Higher Education, Community Dev.",LEED-NC 2.2,1
"Commercial Office, Other",LEED-EB O&M,3
Office: Government,LEED-CS v2009,5
Healthcare: Nursing Home/ Assisted Living,LEED-HC v2009,1
